Jalsa, Yes, Yes,4.1,775, Banashankari, Casual Dining,800, Buffet, Banashankari, North Indian/Mughlai/Chinese
Amritsari Kulcha Bite, Yes, No,3.9,104, Ulsoor, Quick Bites,150, Delivery, Frazer Town, North Indian
Al-Baik Tandoori Restaurant, Yes, No,3.6,113, Nagawara, Quick Bites,450, Delivery, Frazer Town, North Indian/Chinese/Arabian/Biryani/Rolls
Pizza Hut, Yes, No,3.3,302, Frazer Town, Casual Dining,750, Delivery, Frazer Town, Pizza/Fast Food
Shanthi Sagar, Yes, No,4.1,205, Ulsoor, Quick Bites,250, Delivery, Frazer Town, South Indian/North Indian/Chinese/Juices
Masala Central, Yes, No,3.7,75, Frazer Town, Quick Bites,300, Delivery, Frazer Town, North Indian
Karama Restaurant, Yes, Yes,4.4,2867, Frazer Town, Casual Dining,750, Delivery, Frazer Town, Arabian/North Indian/Beverages
The Mughal's, Yes, No,3.7,89, Frazer Town, Quick Bites,400, Delivery, Frazer Town, Mughlai/North Indian/Chinese
Donne Biryani Hatti, Yes, No,3.6,27, Vasanth Nagar, Quick Bites,300, Delivery, Frazer Town, Biryani
Food Box, Yes, No,3.6,21, Kammanahalli, Quick Bites,350, Delivery, Frazer Town, Fast Food/Beverages
Hotel Dil Coorg, Yes, No,3.6,79, Ulsoor, Quick Bites,300, Delivery, Frazer Town, North Indian/South Indian
Altaf's Chillies Restaurant, Yes, No,3.8,229, Frazer Town, Casual Dining,500, Delivery, Frazer Town, North Indian/Chinese
New Alameen Restaurant, Yes, No,3.5,24, Ulsoor, Quick Bites,300, Delivery, Frazer Town, Kerala/North Indian/Chinese
New Kairali Restaurant, Yes, No,3.7,93, Kammanahalli, Quick Bites,400, Delivery, Frazer Town, Kerala/South Indian
Arabian Shawarma, Yes, No,3.7,30, Kammanahalli, Kiosk,150, Delivery, Frazer Town, Arabian
Shalimar, Yes, No,4,154, Indiranagar, Casual Dining,700, Delivery, Frazer Town, North Indian/Chinese/Seafood
Crunch Pizzas, Yes, No,2.6,227, Banaswadi, Quick Bites,600, Delivery, Frazer Town, Italian/Pizza
Imperial Restaurant, Yes, No,3.9,239, Indiranagar, Casual Dining,800, Delivery, Frazer Town, North Indian/Chinese/Biryani/Kebab/Juices
The Mangalorean, Yes, Yes,4.1,229, Kammanahalli, Casual Dining,550, Delivery, Frazer Town, Konkan/Mangalorean/Seafood
Xpress Biryani, Yes, No,4.3,148, Ulsoor, Casual Dining,650, Delivery, Frazer Town, Biryani/North Indian/Kebab
Kanti Sweets, Yes, No,3.9,58, RT Nagar, Sweet Shop,400, Delivery, Frazer Town, Mithai/Street Food
Chickpet Donne Biriyani Mane, Yes, No,3,15, Kalyan Nagar, Quick Bites,350, Delivery, Frazer Town, Biryani/Kebab
KKR FOODIES, Yes, Yes,3.1,59, St. Marks Road, Quick Bites,400, Delivery, Frazer Town, Biryani/Chinese/Fast Food/North Indian
Momoz, Yes, No,3.9,186, Kammanahalli, Quick Bites,500, Delivery, Frazer Town, Chinese/Momos
Alampur Bar And Restaurant, Yes, No,3.7,42, Race Course Road, Casual Dining,900, Delivery, Frazer Town, Chinese/South Indian/North Indian
Seafood Place, Yes, No,4.1,298, Indiranagar, Casual Dining,800, Delivery, Frazer Town, Chinese/North Indian/Kerala/Mangalorean/Seafood
Sri Sagar, Yes, No,3.7,27, Kammanahalli, Quick Bites,300, Delivery, Frazer Town, South Indian/North Indian/Chinese/Street Food/Juices
UBQ by Barbeque Nation, Yes, No,3.2,9, MG Road, Delivery,450, Delivery, Frazer Town, North Indian/BBQ/Biryani/Kebab
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©, Yes, No,4.2,382, Ulsoor, Cafe,500, Delivery, Frazer Town, Pizza/Italian/Cafe/Burger/Finger Food/Fast Food/Sandwich
The Milkshake Theory, Yes, No,3.2,40, Lavelle Road, Beverage Shop,400, Delivery, Frazer Town, Beverages/Fast Food
Smally's Resto Cafe, Yes, Yes,4.1,1852, Ulsoor, Cafe,650, Delivery, Frazer Town, Cafe/Italian/Burger/American/Steak
New Biriyani Darbar, Yes, No,3.6,68, RT Nagar, Casual Dining,450, Delivery, Frazer Town, Biryani/South Indian/North Indian/Chinese
Belgian Waffle Factory, Yes, No,4.9,1743, Brigade Road, Dessert Parlor,400, Delivery, Frazer Town, Desserts
No 10 Fort Cochin, Yes, Yes,3.8,194, St. Marks Road, Casual Dining,800, Delivery, Frazer Town, Biryani/Kerala/Seafood/South Indian
Kareem's, Yes, No,3.6,32, Frazer Town, Quick Bites,700, Delivery, Frazer Town, North Indian/Mughlai
Mani's Dum Biryani, Yes, No,4,176, Ulsoor, Casual Dining,750, Delivery, Frazer Town, Biryani/Kebab
NH7 Refuel, Yes, No,3.4,19, Ulsoor, Quick Bites,400, Delivery, Frazer Town, North Indian/Chinese/Biryani
Fujan, Yes, No,3.6,54, Frazer Town, Casual Dining,600, Delivery, Frazer Town, Chinese/Thai/Seafood
Samovar, Yes, No,3.9,190, Kammanahalli, Casual Dining,600, Delivery, Frazer Town, Kerala/South Indian
Home Food, Yes, No,3.4,11, Kammanahalli, Quick Bites,300, Delivery, Frazer Town, South Indian
JS Food Court, Yes, No,3.8,127, Kammanahalli, Quick Bites,400, Delivery, Frazer Town, Fast Food/Juices
Wild Range Restaurant, Yes, No,3.8,44, Kammanahalli, Casual Dining,600, Delivery, Frazer Town, North Indian/Chinese
Karachi Bakery, Yes, No,3.9,59, Indiranagar, Bakery,500, Delivery, Frazer Town, Bakery
YumYumDilli, Yes, No,3.6,51, Indiranagar, Delivery,500, Delivery, Frazer Town, North Indian
Pizza Stop, Yes, No,3.8,151, Banaswadi, Quick Bites,500, Delivery, Frazer Town, Pizza/Italian
Crunch Pizzas, Yes, No,2.9,77, Banaswadi, Quick Bites,400, Delivery, Frazer Town, Pizza
SS Bucket Biryani, No, No,3.9,135, Frazer Town, Casual Dining,600, Delivery, Frazer Town, Biryani/North Indian/Chinese
Indian Spice Food, Yes, No,3.7,24, Ulsoor, Quick Bites,300, Delivery, Frazer Town, North Indian/Chinese
Coastal Delight, Yes, No,4.1,198, Indiranagar, Casual Dining,650, Delivery, Frazer Town, Seafood/South Indian/North Indian/Mangalorean/Chinese
Krispy Kreme, Yes, No,4,47, Richmond Road, Dessert Parlor,300, Delivery, Frazer Town, Desserts/Beverages
Utse Kitchen, Yes, No,4.2,175, Commercial Street, Casual Dining,800, Delivery, Frazer Town, Nepalese/Tibetan/Momos
Subway, Yes, No,3.9,107, Lavelle Road, Quick Bites,600, Delivery, Frazer Town, Salad/Fast Food
Ishta Upahar, Yes, No,3.4,41, Ulsoor, Quick Bites,100, Delivery, Frazer Town, South Indian
Delicacy, Yes, No,3.9,306, Frazer Town, Casual Dining,500, Delivery, Frazer Town, Chinese/Thai/Momos
Fanoos, Yes, No,3.9,132, Frazer Town, Quick Bites,400, Delivery, Frazer Town, Arabian/Rolls/North Indian/BBQ
Rahhams, Yes, No,3.9,851, Frazer Town, Casual Dining,700, Delivery, Frazer Town, Mughlai/North Indian/Chinese
Navab's, Yes, No,3.6,10, Frazer Town, Delivery,600, Delivery, Frazer Town, Mughlai
Gokul Kuteera, Yes, No,3.9,258, Indiranagar, Casual Dining,650, Delivery, Frazer Town, North Indian/Chinese/South Indian
Skoolroom, Yes, No,4.3,570, Ulsoor, Cafe,700, Delivery, Frazer Town, Cafe/Continental/Italian/Burger/Beverages
Gowdru Hotel, Yes, No,3.9,200, Indiranagar, Quick Bites,400, Delivery, Frazer Town, South Indian/Biryani
Sweet Truth, Yes, No,4,29, BTM, Bakery,500, Delivery, Frazer Town, Bakery/Desserts
Oregano Pizzeria, Yes, No,3.5,62, Frazer Town, Quick Bites,300, Delivery, Frazer Town, Italian/Pizza
Chichaba's Taj, Yes, No,3.9,443, Frazer Town, Casual Dining,600, Delivery, Frazer Town, Biryani/North Indian/Mughlai
Jingo BBQ & Burgers, Yes, No,3.9,40, Kammanahalli, Quick Bites,550, Delivery, Frazer Town, Burger/BBQ
Zabi, Yes, No,3.8,173, HBR Layout, Quick Bites,300, Delivery, Frazer Town, Biryani
Shezan, Yes, No,4.1,391, Cunningham Road, Casual Dining,600, Delivery, Frazer Town, Chinese/Continental/North Indian/Mughlai/Steak
Shawarma Inc, Yes, No,3.1,28, Brigade Road, Food Court,250, Delivery, Frazer Town, Rolls/Lebanese
Dakshin Restaurant, Yes, No,3.6,16, Brigade Road, Casual Dining,800, Delivery, Frazer Town, Mangalorean/Seafood/North Indian/Chinese
Upahara Mandira, Yes, No,3.9,24, HBR Layout, Quick Bites,300, Delivery, Frazer Town, South Indian/North Indian/Chinese
Caferia, Yes, No,3.3,4, Frazer Town, Quick Bites,200, Delivery, Frazer Town, Fast Food/Street Food
Thai House, Yes, No,4.2,227, Indiranagar, Casual Dining,800, Delivery, Frazer Town, Thai
Tayabbs, Yes, No,3,9, Frazer Town, Quick Bites,500, Delivery, Frazer Town, Rolls/North Indian/Fast Food
Sheesh Kebab, Yes, No,4.1,69, Frazer Town, Casual Dining,700, Delivery, Frazer Town, North Indian
Aagaman Veg, Yes, No,4,558, Indiranagar, Casual Dining,900, Delivery, Frazer Town, North Indian/Chinese/South Indian
The Waffle Press, Yes, No,4.3,116, St. Marks Road, Dessert Parlor,400, Delivery, Frazer Town, Desserts/Ice Cream
American Bites, Yes, No,2.4,48, Kalyan Nagar, Quick Bites,450, Delivery, Frazer Town, Fast Food/Burger/Pizza
Sagar Delicacy, Yes, No,3.9,87, Ulsoor, Casual Dining,500, Delivery, Frazer Town, North Indian/Chinese/Fast Food/Street Food
BIB - Breakfast in the Box, Yes, No,3.5,41, Kammanahalli, Delivery,600, Delivery, Frazer Town, American/Sandwich
Imli, Yes, No,3.9,1838, Indiranagar, Casual Dining,900, Delivery, Frazer Town, North Indian/Street Food
XO Belgian Waffle, Yes, No,4.4,216, Brigade Road, Food Court,450, Delivery, Frazer Town, Desserts/Beverages
The Adukkala Restaurant, Yes, No,3.6,41, Brigade Road, Casual Dining,500, Delivery, Frazer Town, Kerala
Anna Kuteera, Yes, No,3.8,62, St. Marks Road, Casual Dining,400, Delivery, Frazer Town, South Indian/North Indian/Chinese
Calicut Restaurant, Yes, No,3.6,76, Kammanahalli, Quick Bites,450, Delivery, Frazer Town, Kerala/South Indian/North Indian/Chinese
Srinidhi Sagar Food Line, Yes, No,3.7,131, Indiranagar, Quick Bites,40, Delivery, Frazer Town, South Indian/North Indian/Chinese
Chubalas Curry And Rice, Yes, No,4,209, Kammanahalli, Quick Bites,550, Delivery, Frazer Town, Naga/Goan/Seafood/Chinese
Gelato Italiano, Yes, No,2.9,17, Ulsoor, Dessert Parlor,200, Delivery, Frazer Town, Ice Cream/Bakery/Desserts
Sannidhi Grand, Yes, No,3.8,49, Kammanahalli, Quick Bites,300, Delivery, Frazer Town, South Indian/North Indian/Chinese/Street Food
Kaati Zone, Yes, No,3.1,163, Church Street, Quick Bites,350, Delivery, Frazer Town, Fast Food/Biryani/Rolls
Navarang Fast Food, Yes, No,3.6,114, Kammanahalli, Quick Bites,300, Delivery, Frazer Town, North Indian/Chinese/Kebab/Rolls
New Peking, Yes, No,4.1,382, Kammanahalli, Casual Dining,700, Delivery, Frazer Town, Chinese/Malaysian
Atty's Bakery, Yes, No,4,73, Frazer Town, Bakery,250, Delivery, Frazer Town, Bakery
Manju's Kitchen, Yes, No,3.3,14, Indiranagar, Quick Bites,200, Delivery, Frazer Town, Biryani
Biggies Burger 'n' More, Yes, No,4.3,184, Indiranagar, Quick Bites,650, Delivery, Frazer Town, Cafe/Burger/Beverages
Chung's Chinese Corner, Yes, No,2.7,283, Indiranagar, Casual Dining,700, Delivery, Frazer Town, Chinese
Fullyfilled, Yes, No,4,48, Indiranagar, Quick Bites,200, Delivery, Frazer Town, Sandwich/Fast Food/Momos
Chung Wah, Yes, No,3.9,194, Frazer Town, Casual Dining,800, Delivery, Frazer Town, Chinese/Thai/Momos/Vietnamese
Ibaco, Yes, No,4,289, Indiranagar, Dessert Parlor,300, Delivery, Frazer Town, Desserts
Dakshin Biryani & Tiffin, Yes, No,3.4,334, Indiranagar, Casual Dining,550, Delivery, Frazer Town, Andhra/South Indian/North Indian
Pathy's Kitchen, Yes, No,3.5,21, Indiranagar, Quick Bites,500, Delivery, Frazer Town, Andhra
Asaivam Restaurant, Yes, No,4,69, Indiranagar, Casual Dining,750, Delivery, Frazer Town, Chettinad/South Indian
Oye Amritsar, Yes, Yes,4.1,452, Church Street, Casual Dining,600, Delivery, Frazer Town, North Indian
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Secret Alley, Yes, No,3.9,85, Indiranagar, Cafe,450, Delivery, Frazer Town, Fast Food/Cafe
Peace Restaurant, Yes, No,2.6,125, Indiranagar, Quick Bites,500, Delivery, Frazer Town, Chinese/Tibetan
Naachiyar's, Yes, No,3.9,117, Ulsoor, Casual Dining,600, Delivery, Frazer Town, Chettinad
Ambur Star Briyani, Yes, No,3.7,17, Indiranagar, Casual Dining,500, Delivery, Frazer Town, North Indian/Chinese/Biryani
Pabrai's Fresh & Naturelle Icecreams, Yes, No,4.2,131, Brigade Road, Dessert Parlor,180, Delivery, Frazer Town, Ice Cream/Desserts
Shaadi Ki Biryani, Yes, No,2.8,296, Commercial Street, Casual Dining,600, Delivery, Frazer Town, Biryani
The Cake House, Yes, No,3.7,29, Ulsoor, Bakery,300, Delivery, Frazer Town, Bakery/Fast Food
Mahadii's, Yes, No,3.9,218, Kammanahalli, Casual Dining,600, Delivery, Frazer Town, Andhra/North Indian/Chinese
Zaks Mediterranean Cuisine, Yes, No,3.9,255, Frazer Town, Casual Dining,700, Delivery, Frazer Town, Mediterranean/Arabian/Lebanese
Mummy Dhaba, Yes, No,3.2,46, Ulsoor, Quick Bites,300, Delivery, Frazer Town, North Indian
Cream Chemistry, Yes, No,3.9,149, Frazer Town, Dessert Parlor,500, Delivery, Frazer Town, Ice Cream/Desserts
Yuan Restaurant, Yes, No,3.8,201, HBR Layout, Casual Dining,550, Delivery, Frazer Town, Chinese/Momos
Vijaya Gardenia, Yes, No,3.4,63, Banaswadi, Casual Dining,500, Delivery, Frazer Town, North Indian/Chinese/Andhra
The Grand Taj, Yes, No,3.2,35, Shivajinagar, Quick Bites,350, Delivery, Frazer Town, North Indian/Chinese
Kenny's Restaurant, Yes, No,3.7,87, Banaswadi, Quick Bites,450, Delivery, Frazer Town, Chinese
Pind Balluchi, Yes, Yes,4,1022, Brigade Road, Casual Dining,700, Delivery, Frazer Town, North Indian/Mughlai
Asia In A Box, Yes, No,3,16, Kammanahalli, Casual Dining,550, Delivery, Frazer Town, Thai/Vietnamese/Indonesian/Asian
Domino's Pizza, Yes, No,3.7,288, Frazer Town, Quick Bites,400, Delivery, Frazer Town, Pizza/Fast Food
Classic Lassi Shop, Yes, No,3.5,43, Ulsoor, Beverage Shop,150, Delivery, Frazer Town, Beverages/Ice Cream
Ta'aam, Yes, No,4.1,402, Cunningham Road, Casual Dining,750, Delivery, Frazer Town, North Indian/Mughlai/Arabian/Chinese
A2B - Adyar Ananda Bhavan, Yes, No,3,566, Indiranagar, Casual Dining,400, Delivery, Frazer Town, South Indian/North Indian/Chinese/Street Food/Fast Food
Paaramparya Restaurant, Yes, No,3.6,20, Kammanahalli, Casual Dining,600, Delivery, Frazer Town, Chettinad/Mangalorean/South Indian/North Indian
Mangalore pearl - Seafood Restaurant, Yes, No,4.3,1380, Frazer Town, Casual Dining,700, Delivery, Frazer Town, Mangalorean/Seafood
Charminar Kabab Paradise, Yes, No,4,105, Frazer Town, Casual Dining,500, Delivery, Frazer Town, North Indian/Chinese/Mughlai/Kebab
Hotel Rangoon, Yes, No,3.7,17, Ulsoor, Quick Bites,300, Delivery, Frazer Town, Burmese
Midnight Eats, Yes, No,3,114, Frazer Town, Delivery,500, Delivery, Frazer Town, North Indian/Chinese
Sidra Eatery, Yes, No,3.9,28, Kammanahalli, Quick Bites,400, Delivery, Frazer Town, North Indian/Continental
Kabab Korner, Yes, No,3.9,205, St. Marks Road, Casual Dining,500, Delivery, Frazer Town, North Indian/Chinese/Fast Food
The Egg Factory, Yes, No,4.2,1766, St. Marks Road, Casual Dining,750, Delivery, Frazer Town, Continental/American
Chetty's Corner, Yes, No,3.6,18, Kammanahalli, Quick Bites,200, Delivery, Frazer Town, Fast Food/Burger
Bangalore Masala House, Yes, No,4.2,255, Vasanth Nagar, Cafe,500, Delivery, Frazer Town, Cafe/Continental/Fast Food
Five Star Chicken, Yes, No,3.7,41, Frazer Town, Quick Bites,200, Delivery, Frazer Town, Fast Food/Burger
Alibaba Cafe and Restaurant, Yes, No,3.9,450, Frazer Town, Casual Dining,700, Delivery, Frazer Town, Arabian/Middle Eastern
Retreat Restaurant, Yes, No,3.5,86, RT Nagar, Casual Dining,500, Delivery, Frazer Town, Chinese/North Indian
Taipan, Yes, No,3.5,126, Frazer Town, Casual Dining,700, Delivery, Frazer Town, Chinese/Momos
Baskin Robbins, Yes, No,3.1,21, Frazer Town, Dessert Parlor,250, Delivery, Frazer Town, Ice Cream/Desserts
Giselle Resto Cafe, Yes, Yes,4.1,836, Kammanahalli, Cafe,800, Delivery, Frazer Town, Cafe/Italian/Pizza/Beverages/Desserts
McDonald's, Yes, No,3.7,184, Brigade Road, Quick Bites,500, Delivery, Frazer Town, Burger/Fast Food
Mad Over Donuts, Yes, No,3.9,148, Brigade Road, Food Court,450, Delivery, Frazer Town, Bakery/Desserts/Beverages
Cafe Coffee Day, Yes, No,3.1,31, Frazer Town, Cafe,900, Delivery, Frazer Town, Cafe/Fast Food
99 Pancakes, Yes, No,4.1,42, Church Street, Dessert Parlor,150, Delivery, Frazer Town, Desserts/Ice Cream
Bhavani Sri, Yes, No,3,110, Indiranagar, Casual Dining,700, Delivery, Frazer Town, Andhra/Biryani/Seafood
Waffle Stories, Yes, No,3.8,31, Banaswadi, Food Court,300, Delivery, Frazer Town, Desserts/Beverages
Aadvik Nightfood, Yes, No,3.6,22, Frazer Town, Delivery,350, Delivery, Frazer Town, Fast Food
Chilli Chicken, Yes, No,3.1,7, Brigade Road, Quick Bites,500, Delivery, Frazer Town, Fast Food
Haldiram's Express, Yes, No,3.6,44, Brigade Road, Kiosk,300, Delivery, Frazer Town, North Indian
Chickpet Donne Biryani House, Yes, No,3.7,45, Commercial Street, Quick Bites,250, Delivery, Frazer Town, Biryani
Roll Er Dokaan, Yes, No,3.2,18, Brigade Road, Quick Bites,300, Delivery, Frazer Town, Street Food/Rolls
Food Town, Yes, No,3.2,5, Indiranagar, Quick Bites,150, Delivery, Frazer Town, Chinese
Fabcafe, Yes, Yes,4.1,55, MG Road, Cafe,800, Delivery, Frazer Town, Cafe/Healthy Food
Hotel Chandrika, Yes, No,3.8,207, Cunningham Road, Casual Dining,400, Delivery, Frazer Town, South Indian/North Indian/Chinese/Street Food
Bheema's, Yes, No,4,781, Church Street, Casual Dining,650, Delivery, Frazer Town, Andhra
Ayda Persian Kitchen, Yes, No,3.9,224, Church Street, Casual Dining,950, Delivery, Frazer Town, North Indian/Iranian
Cream Stone, Yes, No,4,80, Frazer Town, Dessert Parlor,500, Delivery, Frazer Town, Desserts/Beverages
Luqma Restaurant, Yes, No,3.5,18, RT Nagar, Quick Bites,550, Delivery, Frazer Town, North Indian/Chinese/Arabian/Rolls
Ice Cream Works, Yes, No,3.9,84, Indiranagar, Dessert Parlor,300, Delivery, Frazer Town, Ice Cream/Ice Cream
Popat, Yes, No,3.2,41, Indiranagar, Quick Bites,300, Delivery, Frazer Town, North Indian
Bangalore Bytes, Yes, No,3.5,121, Brigade Road, Quick Bites,300, Delivery, Frazer Town, Fast Food/South Indian/Biryani
Panchavati Gaurav Thali, Yes, Yes,4,929, Brigade Road, Casual Dining,800, Delivery, Frazer Town, Rajasthani/Gujarati
Paratha Xpress, Yes, No,3.5,7, Ulsoor, Quick Bites,200, Delivery, Frazer Town, North Indian/Chinese
Ganesh Food Joint, Yes, No,3.7,30, Frazer Town, Quick Bites,200, Delivery, Frazer Town, South Indian/North Indian/Chinese
Wolf'ish, Yes, No,4.1,461, Church Street, Cafe,700, Delivery, Frazer Town, Cafe/American/Italian/Pizza/Burger
Mudpipe Cafe, Yes, No,4.2,740, Cunningham Road, Cafe,750, Delivery, Frazer Town, Cafe/Continental/Italian/Burger
Mad Over Biryani, Yes, No,2.9,17, Church Street, Quick Bites,600, Delivery, Frazer Town, North Indian/Biryani
Sri Udupi Park, Yes, No,3.8,106, Residency Road, Quick Bites,200, Delivery, Frazer Town, South Indian/Chinese
Kolkatta Famous Chat, Yes, No,3.7,23, Indiranagar, Quick Bites,100, Delivery, Frazer Town, Street Food/North Indian
Oh My Chaat, Yes, No,3.1,18, Frazer Town, Quick Bites,300, Delivery, Frazer Town, Street Food
Cobaja, Yes, Yes,4.3,63, Brigade Road, Casual Dining,700, Delivery, Frazer Town, Seafood/South Indian/Bar Food/Mangalorean/Konkan
The Souk, Yes, No,3.7,66, Ulsoor, Cafe,800, Delivery, Frazer Town, Cafe/Mediterranean/Italian/Pizza/Continental
Just Bake, Yes, No,3.4,6, Ulsoor, Bakery,400, Delivery, Frazer Town, Bakery/Desserts
Yauatcha PÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¢tisserie, Yes, No,3.9,54, MG Road, Dessert Parlor,600, Delivery, Frazer Town, Desserts
Ideal Kitchen, Yes, No,3.5,26, Indiranagar, Quick Bites,250, Delivery, Frazer Town, North Indian/Chinese/South Indian/Seafood
Desi Vdesi, Yes, No,3.9,201, Church Street, Quick Bites,250, Delivery, Frazer Town, Fast Food/North Indian/Rolls
King Kong, No, No,3.8,63, Frazer Town, Quick Bites,300, Delivery, Frazer Town, Chinese/Momos
Sweet Chariot, Yes, No,3.8,111, Cunningham Road, Dessert Parlor,500, Delivery, Frazer Town, Bakery/Fast Food
The Belgian Waffle Co., Yes, No,3.7,73, Residency Road, Dessert Parlor,350, Delivery, Frazer Town, Desserts/Beverages
Hatti Kaapi, Yes, No,3.8,31, Ulsoor, Quick Bites,200, Delivery, Frazer Town, South Indian/Beverages
Qissa Khawani, Yes, No,4.4,319, Church Street, Casual Dining,800, Delivery, Frazer Town, North Indian/Mughlai
Ooty Chocolates, Yes, No,3.8,55, Indiranagar, Dessert Parlor,300, Delivery, Frazer Town, Desserts
Kanteen 038, Yes, No,3.9,51, Indiranagar, Quick Bites,200, Delivery, Frazer Town, Tea/Beverages/Fast Food
Ujwal Restaurant, Yes, No,3.9,134, Vasanth Nagar, Casual Dining,550, Delivery, Frazer Town, Seafood/North Indian/Chinese
Mount View Fast Food, Yes, No,3.3,4, Vasanth Nagar, Takeaway,100, Delivery, Frazer Town, Fast Food/Street Food
Pai Vihar, Yes, No,2.8,56, Vasanth Nagar, Quick Bites,400, Delivery, Frazer Town, South Indian/Street Food/Chinese/Fast Food
Cafe Terra, Yes, No,4.2,392, Indiranagar, Cafe,500, Delivery, Frazer Town, Cafe/Continental/Fast Food
Donne Biriyani Mane, Yes, No,3.5,62, Church Street, Quick Bites,400, Delivery, Frazer Town, Biryani/Kebab
Chocs Cafe, Yes, No,3.6,23, RT Nagar, Quick Bites,400, Delivery, Frazer Town, Fast Food/Desserts/Beverages
Kabab Nation Corner, Yes, No,3.5,75, Brigade Road, Quick Bites,500, Delivery, Frazer Town, Chinese/Arabian/Fast Food
Airlines Hotel, Yes, No,4,868, Lavelle Road, Quick Bites,400, Delivery, Frazer Town, South Indian/North Indian/Street Food
Vinny's, Yes, No,3.9,205, Brigade Road, Casual Dining,800, Delivery, Frazer Town, Pizza/Italian/Continental/Desserts
The Bundle Co., Yes, No,4.4,223, MG Road, Quick Bites,700, Delivery, Frazer Town, Burger/Continental/Italian/Beverages
Danny Lambas Punjabi Dhaba, Yes, No,3.5,98, Indiranagar, Casual Dining,600, Delivery, Frazer Town, North Indian/Chinese/Biryani
Chocolate D'Luxe, Yes, No,4.1,183, Lavelle Road, Dessert Parlor,550, Delivery, Frazer Town, Desserts
New Kudla Family Resturant, Yes, No,3.2,4, MG Road, Quick Bites,450, Delivery, Frazer Town, North Indian/Chinese
Raidan Restaurant, No, No,4,169, Frazer Town, Casual Dining,600, Delivery, Frazer Town, Arabian/Chinese/Fast Food
The Chariot, Yes, No,2.9,50, Brigade Road, Quick Bites,350, Delivery, Frazer Town, South Indian/North Indian/Chinese
Goli Vada Pav No. 1, Yes, No,3.5,33, Ulsoor, Quick Bites,200, Delivery, Frazer Town, Street Food
Happy Fillings, Yes, No,3.4,8, Ulsoor, Quick Bites,300, Delivery, Frazer Town, Chinese
Cookie Man, Yes, No,3.4,36, Brigade Road, Dessert Parlor,150, Delivery, Frazer Town, Bakery
The ThickShake Factory, Yes, No,2.8,19, Cunningham Road, Beverage Shop,350, Delivery, Frazer Town, Beverages/Juices
Kadamba Foodline, Yes, No,3.7,30, Ulsoor, Quick Bites,400, Delivery, Frazer Town, Chinese/North Indian/South Indian/Street Food
NTR Cafe, Yes, No,2.9,4, Kammanahalli, Quick Bites,100, Delivery, Frazer Town, Chinese/Fast Food
North Se South Veg & Non-Veg Restaurants, Yes, No,3.6,17, Banaswadi, Quick Bites,250, Delivery, Frazer Town, South Indian/North Indian/Chinese
The Deagh, No, No,3.7,58, Frazer Town, Quick Bites,500, Delivery, Frazer Town, Chinese/North Indian/Arabian
Patels Inn, Yes, No,3.8,48, RT Nagar, Casual Dining,750, Delivery, Frazer Town, North Indian/Chinese
Cafe Idly, Yes, No,3.7,81, Frazer Town, Quick Bites,200, Delivery, Frazer Town, South Indian/Fast Food
Meaza Ginger Multi Cuisine Restaurant, Yes, No,3.6,91, Indiranagar, Casual Dining,550, Delivery, Frazer Town, North Indian/Chinese/South Indian/Kerala
GMT - Gelateria Montecatini Terme, Yes, No,4.4,68, Lavelle Road, Quick Bites,300, Delivery, Frazer Town, Desserts/Ice Cream
The Konkan - Seafood Restaurant, Yes, Yes,4.4,218, St. Marks Road, Casual Dining,850, Delivery, Frazer Town, Seafood/Konkan/Mangalorean
Arabian Mataam, No, No,3.7,19, Frazer Town, Quick Bites,500, Delivery, Frazer Town, Biryani/Arabian
Gobble Up Churros Cafe, Yes, No,3.8,37, Ulsoor, Casual Dining,400, Delivery, Frazer Town, Beverages/Cafe/Desserts/Spanish/Bakery
Classic Shop, Yes, No,3.3,6, Ulsoor, Beverage Shop,150, Delivery, Frazer Town, Juices/Beverages
Penta Cafe, Yes, No,3.5,12, Frazer Town, Quick Bites,350, Delivery, Frazer Town, Juices/Fast Food/Beverages
Chetty's Coffee, Yes, No,3.9,43, Indiranagar, Quick Bites,150, Delivery, Frazer Town, South Indian
Beijing Bites, No, No,3.9,221, Frazer Town, Casual Dining,850, Delivery, Frazer Town, Chinese/Thai
South Inn, Yes, No,3.1,24, Frazer Town, Quick Bites,150, Delivery, Frazer Town, South Indian
Red Lantern, Yes, No,3.7,161, Cunningham Road, Casual Dining,700, Delivery, Frazer Town, Chinese/Thai
Tewari Bros Mithai Shoppie, Yes, No,3.8,59, Commercial Street, Sweet Shop,300, Delivery, Frazer Town, Fast Food/Mithai
Petoo, No, No,3.7,32, Commercial Street, Casual Dining,800, Delivery, Frazer Town, North Indian/Fast Food/Street Food
AQNI, Yes, No,3,9, RT Nagar, Quick Bites,500, Delivery, Frazer Town, North Indian/Mughlai
Bubbles, Yes, No,3.7,21, Frazer Town, Cafe,450, Delivery, Frazer Town, Cafe
Nandhini Deluxe, No, No,3.6,196, Frazer Town, Casual Dining,600, Delivery, Frazer Town, North Indian
Ramji Chaiwale, Yes, No,3.7,43, Ulsoor, Quick Bites,250, Delivery, Frazer Town, Beverages/Fast Food
